Hidden State,Observed State,Current Lane,Timestamp,Trip ID
Vehicle,Change Lane Left,Middle,00:00:00,10
Vehicle,Change Lane Left,Left,00:00:00,10
Vehicle,Change Lane Right,Middle,00:00:00,10
Stoplight,Stop,Middle,00:00:00,10
Stoplight,Go,Middle,00:00:00,10
Passenger,Change Lane Right,Right,00:00:00,10
Passenger,Stop,Right,21:00:24,10
Passenger,Load,Right,00:00:00,10
Passenger,Go,Right,21:01:00,10
Vehicle,Change Lane Left,Middle,00:00:00,10
Passenger,Change Lane Right,Right,00:00:00,10
Passenger,Stop,Right,21:02:32,10
Passenger,Load,Right,00:00:00,10
Passenger,Go,Right,21:02:43,10
Stoplight,Stop,Right,00:00:00,10
Stoplight,Go,Right,00:00:00,10
Vehicle,Change Lane Left,Middle,00:00:00,10
Vehicle,Change Lane Right,Right,00:00:00,10
Stoplight,Stop,Right,00:00:00,10
Stoplight,Go,Right,00:00:00,10
Stoplight,Stop,Right,00:00:00,10
Stoplight,Go,Right,00:00:00,10
Vehicle,Change Lane Left,Middle,00:00:00,10
Vehicle,Change Lane Right,Right,00:00:00,10
Vehicle,Change Lane Left,Middle,00:00:00,10
Vehicle,Change Lane Right,Right,00:00:00,10
Vehicle,Change Lane Left,Middle,00:00:00,10
Vehicle,Change Lane Right,Right,00:00:00,10
Vehicle,Change Lane Left,Middle,00:00:00,10
Stoplight,Stop,Middle,00:00:00,10
Stoplight,Go,Middle,00:00:00,10
Vehicle,Change Lane Left,Left,00:00:00,10
Vehicle,Change Lane Right,Middle,00:00:00,10
Stoplight,Stop,Middle,00:00:00,10
Stoplight,Go,Middle,00:00:00,10
Passenger,Change Lane Right,Right,00:00:00,10
Passenger,Stop,Right,21:18:01,10
Passenger,Load,Right,00:00:00,10
Passenger,Go,Right,21:18:25,10
Stoplight,Stop,Right,00:00:00,10
Stoplight,Go,Right,00:00:00,10
Vehicle,Change Lane Right,Right,00:00:00,10
Vehicle,Change Lane Left,Middle,00:00:00,10
Vehicle,Change Lane Right,Middle,00:00:00,10
Vehicle,Change Lane Right,Right,00:00:00,10
Vehicle,Change Lane Left,Middle,00:00:00,10
Vehicle,Change Lane Left,Middle,00:00:00,10
Vehicle,Change Lane Left,Middle,00:00:00,10
Vehicle,Change Lane Left,Left,00:00:00,10
Vehicle,Change Lane Right,Middle,00:00:00,10
Vehicle,Change Lane Right,Middle,00:00:00,10
Vehicle,Change Lane Right,Right,00:00:00,10
Vehicle,Change Lane Right,Right,00:00:00,10
Vehicle,Change Lane Left,Middle,00:00:00,10
Vehicle,Change Lane Right,Middle,00:00:00,10
Vehicle,Change Lane Left,Middle,00:00:00,10
Passenger,Change Lane Right,Right,00:00:00,10
Passenger,Stop,Right,21:33:52,10
Passenger,Unload,Right,00:00:00,10
Passenger,Go,Right,21:33:59,10
Passenger,Change Lane Right,Right,00:00:00,10
Passenger,Stop,Right,21:42:14,10
Passenger,Unload,Right,00:00:00,10
Passenger,Go,Right,21:42:42,10
Passenger,Load,Right,00:00:00,13
Passenger,Go,Right,06:16:19,13
Passenger,Change Lane Right,Right,00:00:00,13
Passenger,Stop,Right,06:17:50,13
Passenger,Load,Right,00:00:00,13
Passenger,Go,Right,06:18:04,13
Vehicle,Change Lane Left,Left,00:00:00,13
Vehicle,Change Lane Right,Right,00:00:00,13
Passenger,Stop,Right,06:19:59,13
Passenger,Load,Right,00:00:00,13
Passenger,Go,Right,06:21:50,13
Passenger,Stop,Right,00:00:00,13
Passenger,Go,Right,00:00:00,13
Passenger,Stop,Right,06:26:50,13
Passenger,Load,Right,00:00:00,13
Passenger,Go,Right,06:27:15,13
Vehicle,Change Lane Left,Left,00:00:00,13
Vehicle,Change Lane Right,Right,00:00:00,13
Vehicle,Change Lane Left,Left,00:00:00,13
Vehicle,Change Lane Right,Right,00:00:00,13
Passenger,Stop,Right,00:00:00,13
Passenger,Load,Right,06:32:08,13
Passenger,Go,Right,06:32:25,13
Vehicle,Change Lane Left,Middle,00:00:00,13
Vehicle,Change Lane Right,Right,00:00:00,13
Vehicle,Change Lane Left,Middle,00:00:00,13
