Hidden State,Observed State,Current Lane,Timestamp,Trip ID
Vehicle,Change Lane Left,Middle,00:00:00,8
Vehicle,Change Lane Left,Left,00:00:00,8
Vehicle,Change Lane Right,Middle,00:00:00,8
Vehicle,Change Lane Left,Middle,00:00:00,8
Vehicle,Change Lane Right,Right,00:00:00,8
Vehicle,Change Lane Left,Middle,00:00:00,8
Vehicle,Change Lane Left,Left,00:00:00,8
Stoplight,Stop,Right,00:00:00,8
Passenger,Stop,Right,14:45:48,8
Passenger,Load,Right,00:00:00,8
Passenger,Go,Right,14:46:16,8
Vehicle,Change Lane Left,Left,00:00:00,8
Vehicle,Change Lane Right,Right,00:00:00,8
Vehicle,Change Lane Left,Left,00:00:00,8
Vehicle,Change Lane Right,Middle,00:00:00,8
Passenger,Change Lane Right,Right,00:00:00,8
Passenger,Stop,Right,14:48:44,8
Passenger,Load,Right,00:00:00,8
Passenger,Go,Right,14:48:58,8
Passenger,Change Lane Right,Right,00:00:00,8
Passenger,Stop,Right,14:49:30,8
Passenger,Load,Right,00:00:00,8
Passenger,Go,Right,14:49:47,8
Vehicle,Change Lane Left,Middle,00:00:00,8
Vehicle,Change Lane Left,Left,00:00:00,8
Stoplight,Stop,Left,00:00:00,8
Stoplight,Go,Left,00:00:00,8
Stoplight,Stop,Left,00:00:00,8
Stoplight,Go,Left,00:00:00,8
Vehicle,Change Lane Right,Middle,00:00:00,8
Passenger,Change Lane Right,Right,00:00:00,8
Vehicle,Change Lane Left,Middle,00:00:00,8
Vehicle,Change Lane Left,Left,00:00:00,8
Vehicle,Change Lane Right,Middle,00:00:00,8
Vehicle,Change Lane Right,Right,00:00:00,8
Vehicle,Change Lane Left,Middle,00:00:00,8
Vehicle,Change Lane Right,Right,00:00:00,8
Vehicle,Change Lane Left,Middle,00:00:00,8
Vehicle,Change Lane Left,Left,00:00:00,8
Vehicle,Change Lane Left,Middle,00:00:00,8
Vehicle,Change Lane Right,Right,00:00:00,8
Vehicle,Change Lane Left,Middle,00:00:00,8
Vehicle,Change Lane Left,Left,00:00:00,8
Stoplight,Stop,Left,00:00:00,8
Stoplight,Go,Left,00:00:00,8
Vehicle,Change Lane Right,Middle,00:00:00,8
Vehicle,Change Lane Left,Left,00:00:00,8
Vehicle,Change Lane Right,Right,00:00:00,8
Vehicle,Change Lane Left,Middle,00:00:00,8
Vehicle,Change Lane Left,Middle,00:00:00,8
Vehicle,Change Lane Left,Left,00:00:00,8
Vehicle,Change Lane Right,Middle,00:00:00,8
Vehicle,Change Lane Right,Middle,00:00:00,8
Vehicle,Change Lane Right,Middle,00:00:00,8
Vehicle,Change Lane Right,Middle,00:00:00,8
Vehicle,Change Lane Right,Middle,00:00:00,8
Vehicle,Change Lane Right,Middle,00:00:00,8
Vehicle,Change Lane Right,Right,00:00:00,8
Passenger,Change Lane Right,Right,00:00:00,8
